지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),현지기압(hPa),해면기압(hPa),적설(cm),year,month,day,hour
108,서울,2019-01-02 05:00:00,-8.5,0.0,0.8,290.0,57.0,1.8,1022.9,1034.2,0.0,2019,1,2,5
108,서울,2019-01-02 06:00:00,-8.5,0.0,0.6,270.0,57.0,1.8,1023.3,1034.6,0.0,2019,1,2,6
108,서울,2019-01-02 07:00:00,-8.5,0.0,0.7,320.0,61.0,2.0,1023.8,1035.1,0.0,2019,1,2,7
108,서울,2019-01-02 08:00:00,-8.7,0.0,0.8,290.0,63.0,2.0,1024.5,1035.9,0.0,2019,1,2,8
108,서울,2019-01-02 09:00:00,-7.5,0.0,1.4,320.0,51.0,1.8,1025.1,1036.4,0.0,2019,1,2,9
108,서울,2019-01-02 10:00:00,-5.6,0.0,1.5,320.0,40.0,1.6,1025.4,1036.6,0.0,2019,1,2,10
108,서울,2019-01-02 11:00:00,-4.1,0.0,2.2,320.0,33.0,1.5,1024.8,1036.0,0.0,2019,1,2,11
108,서울,2019-01-02 12:00:00,-2.8,0.0,3.2,320.0,29.0,1.4,1023.8,1034.9,0.0,2019,1,2,12
108,서울,2019-01-02 13:00:00,-1.8,0.0,3.0,320.0,26.0,1.4,1022.8,1033.8,0.0,2019,1,2,13
108,서울,2019-01-02 14:00:00,-0.2,0.0,2.5,270.0,22.0,1.3,1022.2,1033.2,0.0,2019,1,2,14
108,서울,2019-01-02 15:00:00,0.0,0.0,2.6,290.0,23.0,1.4,1022.2,1033.2,0.0,2019,1,2,15
108,서울,2019-01-02 16:00:00,0.0,0.0,2.0,320.0,22.0,1.3,1022.2,1033.2,0.0,2019,1,2,16
108,서울,2019-01-02 17:00:00,-1.0,0.0,1.8,270.0,32.0,1.8,1022.1,1033.1,0.0,2019,1,2,17
108,서울,2019-01-02 18:00:00,-2.6,0.0,2.2,270.0,37.0,1.9,1022.8,1033.9,0.0,2019,1,2,18
108,서울,2019-01-02 19:00:00,-3.3,0.0,2.0,270.0,39.0,1.9,1023.0,1034.1,0.0,2019,1,2,19
108,서울,2019-01-02 20:00:00,-3.9,0.0,1.1,290.0,43.0,2.0,1023.0,1034.1,0.0,2019,1,2,20
108,서울,2019-01-02 21:00:00,-4.4,0.0,1.7,270.0,44.0,1.9,1022.9,1034.1,0.0,2019,1,2,21
108,서울,2019-01-02 22:00:00,-4.3,0.0,2.0,320.0,47.0,2.1,1023.1,1034.3,0.0,2019,1,2,22
108,서울,2019-01-02 23:00:00,-4.6,0.0,1.6,290.0,47.0,2.0,1023.5,1034.7,0.0,2019,1,2,23
108,서울,2019-01-03 00:00:00,-5.4,0.0,2.4,290.0,46.0,1.9,1023.8,1035.0,0.0,2019,1,3,0
108,서울,2019-01-03 01:00:00,-6.1,0.0,0.8,320.0,48.0,1.9,1023.8,1035.0,0.0,2019,1,3,1
108,서울,2019-01-03 02:00:00,-7.0,0.0,0.8,290.0,53.0,1.9,1024.0,1035.3,0.0,2019,1,3,2
108,서울,2019-01-03 03:00:00,-7.5,0.0,0.7,290.0,51.0,1.8,1024.2,1035.5,0.0,2019,1,3,3
108,서울,2019-01-03 04:00:00,-7.7,0.0,2.4,270.0,53.0,1.8,1024.0,1035.3,0.0,2019,1,3,4
108,서울,2019-01-03 05:00:00,-8.0,0.0,1.1,290.0,57.0,1.9,1024.1,1035.4,0.0,2019,1,3,5
108,서울,2019-01-03 06:00:00,-8.1,0.0,1.7,270.0,54.0,1.8,1024.5,1035.8,0.0,2019,1,3,6
108,서울,2019-01-03 07:00:00,-8.3,0.0,0.7,360.0,58.0,1.9,1024.5,1035.8,0.0,2019,1,3,7
108,서울,2019-01-03 08:00:00,-8.4,0.0,0.9,290.0,56.0,1.8,1024.7,1036.1,0.0,2019,1,3,8
108,서울,2019-01-03 09:00:00,-7.7,0.0,0.5,20.0,43.0,1.5,1025.3,1036.6,0.0,2019,1,3,9
108,서울,2019-01-03 10:00:00,-4.8,0.0,1.0,320.0,33.0,1.4,1025.8,1037.0,0.0,2019,1,3,10
108,서울,2019-01-03 11:00:00,-2.4,0.0,1.3,290.0,30.0,1.5,1025.8,1036.9,0.0,2019,1,3,11
108,서울,2019-01-03 12:00:00,-0.4,0.0,1.9,290.0,26.0,1.5,1025.0,1036.0,0.0,2019,1,3,12
108,서울,2019-01-03 13:00:00,1.1,0.0,1.4,270.0,22.0,1.5,1024.1,1035.0,0.0,2019,1,3,13
108,서울,2019-01-03 14:00:00,2.4,0.0,1.9,180.0,20.0,1.5,1023.4,1034.3,0.0,2019,1,3,14
108,서울,2019-01-03 15:00:00,2.9,0.0,2.3,180.0,20.0,1.5,1023.2,1034.0,0.0,2019,1,3,15
108,서울,2019-01-03 16:00:00,3.2,0.0,1.7,180.0,19.0,1.5,1022.9,1033.7,0.0,2019,1,3,16
108,서울,2019-01-03 17:00:00,1.5,0.0,1.2,290.0,20.0,1.4,1023.0,1033.9,0.0,2019,1,3,17
108,서울,2019-01-03 18:00:00,-0.4,0.0,1.6,270.0,22.0,1.3,1023.3,1034.3,0.0,2019,1,3,18
108,서울,2019-01-03 19:00:00,-0.9,0.0,2.0,290.0,24.0,1.4,1024.2,1035.2,0.0,2019,1,3,19
108,서울,2019-01-03 20:00:00,-1.7,0.0,1.5,270.0,45.0,2.4,1025.0,1036.1,0.0,2019,1,3,20
108,서울,2019-01-03 21:00:00,-2.7,0.0,0.7,290.0,47.0,2.4,1024.1,1035.2,0.0,2019,1,3,21
108,서울,2019-01-03 22:00:00,-3.3,0.0,0.7,290.0,42.0,2.0,1024.0,1035.1,0.0,2019,1,3,22
108,서울,2019-01-03 23:00:00,-3.9,0.0,1.3,270.0,41.0,1.9,1024.6,1035.8,0.0,2019,1,3,23
108,서울,2019-01-04 00:00:00,-3.9,0.0,0.8,290.0,47.0,2.2,1024.3,1035.5,0.0,2019,1,4,0
108,서울,2019-01-04 01:00:00,-4.1,0.0,0.4,0.0,46.0,2.1,1023.9,1035.1,0.0,2019,1,4,1
108,서울,2019-01-04 02:00:00,-4.5,0.0,0.6,20.0,44.0,1.9,1024.0,1035.2,0.0,2019,1,4,2
108,서울,2019-01-04 03:00:00,-4.9,0.0,1.1,50.0,47.0,2.0,1023.2,1034.4,0.0,2019,1,4,3
108,서울,2019-01-04 04:00:00,-5.2,0.0,0.6,20.0,50.0,2.1,1023.0,1034.2,0.0,2019,1,4,4
108,서울,2019-01-04 05:00:00,-5.5,0.0,0.7,360.0,47.0,1.9,1022.5,1033.7,0.0,2019,1,4,5
108,서울,2019-01-04 06:00:00,-5.8,0.0,0.8,20.0,50.0,2.0,1022.1,1033.3,0.0,2019,1,4,6
108,서울,2019-01-04 07:00:00,-6.0,0.0,1.2,50.0,55.0,2.2,1021.5,1032.7,0.0,2019,1,4,7
108,서울,2019-01-04 08:00:00,-6.1,0.0,1.1,20.0,54.0,2.1,1021.4,1032.6,0.0,2019,1,4,8
108,서울,2019-01-04 09:00:00,-5.4,0.0,1.3,50.0,49.0,2.0,1021.9,1033.1,0.0,2019,1,4,9
108,서울,2019-01-04 10:00:00,-3.5,0.0,0.7,360.0,40.0,1.9,1022.1,1033.2,0.0,2019,1,4,10
108,서울,2019-01-04 11:00:00,-1.5,0.0,1.0,360.0,37.0,2.0,1021.5,1032.5,0.0,2019,1,4,11
108,서울,2019-01-04 12:00:00,-0.4,0.0,0.7,360.0,34.0,2.0,1020.5,1031.5,0.0,2019,1,4,12
108,서울,2019-01-04 13:00:00,1.1,0.0,1.5,230.0,40.0,2.6,1020.1,1031.0,0.0,2019,1,4,13
108,서울,2019-01-04 14:00:00,3.1,0.0,2.5,200.0,36.0,2.8,1019.2,1030.0,0.0,2019,1,4,14
108,서울,2019-01-04 15:00:00,3.9,0.0,2.7,230.0,40.0,3.2,1018.2,1028.9,0.0,2019,1,4,15
108,서울,2019-01-04 16:00:00,3.0,0.0,1.6,250.0,49.0,3.7,1017.8,1028.6,0.0,2019,1,4,16
108,서울,2019-01-04 17:00:00,2.7,0.0,1.3,270.0,61.0,4.5,1017.3,1028.1,0.0,2019,1,4,17
108,서울,2019-01-04 18:00:00,2.3,0.0,1.5,250.0,69.0,5.0,1017.4,1028.2,0.0,2019,1,4,18
108,서울,2019-01-04 19:00:00,1.5,0.0,1.0,230.0,74.0,5.0,1017.2,1028.0,0.0,2019,1,4,19
108,서울,2019-01-04 20:00:00,1.4,0.0,1.2,270.0,75.0,5.1,1017.1,1028.0,0.0,2019,1,4,20
108,서울,2019-01-04 21:00:00,1.4,0.0,1.8,270.0,75.0,5.1,1016.6,1027.4,0.0,2019,1,4,21
108,서울,2019-01-04 22:00:00,0.7,0.0,1.1,250.0,79.0,5.1,1016.3,1027.2,0.0,2019,1,4,22
108,서울,2019-01-04 23:00:00,0.1,0.0,1.0,290.0,81.0,5.0,1016.2,1027.1,0.0,2019,1,4,23
108,서울,2019-01-05 00:00:00,-0.2,0.0,1.7,270.0,80.0,4.8,1015.8,1026.7,0.0,2019,1,5,0
108,서울,2019-01-05 01:00:00,-0.4,0.0,2.2,320.0,81.0,4.8,1016.1,1027.0,0.0,2019,1,5,1
108,서울,2019-01-05 02:00:00,-1.5,0.0,3.0,290.0,75.0,4.1,1016.5,1027.5,0.0,2019,1,5,2
108,서울,2019-01-05 03:00:00,-2.2,0.0,2.1,320.0,75.0,3.9,1016.6,1027.6,0.0,2019,1,5,3
108,서울,2019-01-05 04:00:00,-2.9,0.0,1.4,360.0,65.0,3.2,1016.2,1027.2,0.0,2019,1,5,4
108,서울,2019-01-05 05:00:00,-3.8,0.0,1.2,340.0,61.0,2.8,1016.2,1027.3,0.0,2019,1,5,5
108,서울,2019-01-05 06:00:00,-4.5,0.0,0.6,320.0,58.0,2.5,1016.3,1027.4,0.0,2019,1,5,6
108,서울,2019-01-05 07:00:00,-4.6,0.0,1.6,340.0,50.0,2.2,1016.2,1027.3,0.0,2019,1,5,7
108,서울,2019-01-05 08:00:00,-4.5,0.0,3.3,320.0,46.0,2.0,1016.8,1027.9,0.0,2019,1,5,8
108,서울,2019-01-05 09:00:00,-4.7,0.0,2.9,320.0,47.0,2.0,1017.2,1028.3,0.0,2019,1,5,9
108,서울,2019-01-05 10:00:00,-4.0,0.0,3.5,320.0,45.0,2.0,1017.9,1029.0,0.0,2019,1,5,10
108,서울,2019-01-05 11:00:00,-2.8,0.0,3.7,320.0,38.0,1.9,1018.1,1029.1,0.0,2019,1,5,11
108,서울,2019-01-05 12:00:00,-2.0,0.0,3.6,290.0,34.0,1.8,1017.3,1028.3,0.0,2019,1,5,12
108,서울,2019-01-05 13:00:00,-0.7,0.0,2.8,290.0,30.0,1.7,1016.8,1027.7,0.0,2019,1,5,13
108,서울,2019-01-05 14:00:00,-0.5,0.0,2.4,290.0,25.0,1.5,1016.2,1027.1,0.0,2019,1,5,14
108,서울,2019-01-05 15:00:00,0.6,0.0,3.5,270.0,20.0,1.3,1015.9,1026.8,0.0,2019,1,5,15
108,서울,2019-01-05 16:00:00,0.4,0.0,2.7,320.0,21.0,1.3,1015.5,1026.4,0.0,2019,1,5,16
108,서울,2019-01-05 17:00:00,-0.3,0.0,1.9,290.0,21.0,1.3,1015.3,1026.2,0.0,2019,1,5,17
108,서울,2019-01-05 18:00:00,-1.5,0.0,1.6,270.0,23.0,1.3,1015.8,1026.8,0.0,2019,1,5,18
108,서울,2019-01-05 19:00:00,-2.1,0.0,1.5,290.0,26.0,1.4,1016.1,1027.1,0.0,2019,1,5,19
108,서울,2019-01-05 20:00:00,-2.6,0.0,1.7,290.0,28.0,1.4,1015.9,1026.9,0.0,2019,1,5,20
108,서울,2019-01-05 21:00:00,-2.9,0.0,1.8,340.0,28.0,1.4,1016.4,1027.4,0.0,2019,1,5,21
108,서울,2019-01-05 22:00:00,-3.9,0.0,1.7,290.0,31.0,1.4,1016.8,1027.9,0.0,2019,1,5,22
108,서울,2019-01-05 23:00:00,-4.8,0.0,1.5,290.0,35.0,1.5,1017.0,1028.1,0.0,2019,1,5,23
108,서울,2019-01-06 00:00:00,-5.5,0.0,1.4,290.0,37.0,1.5,1017.1,1028.2,0.0,2019,1,6,0
108,서울,2019-01-06 01:00:00,-6.0,0.0,1.8,290.0,37.0,1.5,1017.3,1028.5,0.0,2019,1,6,1
108,서울,2019-01-06 02:00:00,-6.3,0.0,0.9,290.0,38.0,1.5,1017.6,1028.8,0.0,2019,1,6,2
108,서울,2019-01-06 03:00:00,-5.9,0.0,0.1,0.0,37.0,1.5,1017.7,1028.9,0.0,2019,1,6,3
108,서울,2019-01-06 04:00:00,-5.7,0.0,0.8,340.0,35.0,1.4,1017.1,1028.2,0.0,2019,1,6,4
108,서울,2019-01-06 05:00:00,-5.6,0.0,0.3,0.0,36.0,1.5,1016.9,1028.0,0.0,2019,1,6,5
108,서울,2019-01-06 06:00:00,-5.4,0.0,0.5,360.0,35.0,1.4,1017.0,1028.1,0.0,2019,1,6,6
108,서울,2019-01-06 07:00:00,-5.3,0.0,1.2,50.0,38.0,1.6,1016.9,1028.0,0.0,2019,1,6,7
108,서울,2019-01-06 08:00:00,-5.7,0.0,0.7,360.0,39.0,1.6,1017.7,1028.8,0.0,2019,1,6,8
108,서울,2019-01-06 09:00:00,-5.2,0.0,0.9,320.0,38.0,1.6,1018.2,1029.3,0.0,2019,1,6,9
108,서울,2019-01-06 10:00:00,-4.2,0.0,0.3,0.0,35.0,1.6,1018.6,1029.7,0.0,2019,1,6,10
108,서울,2019-01-06 11:00:00,-1.3,0.0,1.7,250.0,31.0,1.7,1018.5,1029.5,0.0,2019,1,6,11
108,서울,2019-01-06 12:00:00,0.2,0.0,2.2,270.0,28.0,1.7,1018.3,1029.2,0.0,2019,1,6,12
108,서울,2019-01-06 13:00:00,1.6,0.0,1.3,250.0,21.0,1.4,1016.9,1027.7,0.0,2019,1,6,13
108,서울,2019-01-06 14:00:00,1.8,0.0,2.1,270.0,22.0,1.5,1016.9,1027.7,0.0,2019,1,6,14
108,서울,2019-01-06 15:00:00,2.1,0.0,2.8,290.0,21.0,1.5,1016.7,1027.5,0.0,2019,1,6,15
108,서울,2019-01-06 16:00:00,2.5,0.0,1.8,290.0,22.0,1.6,1017.2,1028.0,0.0,2019,1,6,16
108,서울,2019-01-06 17:00:00,0.8,0.0,1.8,290.0,28.0,1.8,1017.3,1028.2,0.0,2019,1,6,17
108,서울,2019-01-06 18:00:00,-0.9,0.0,1.6,290.0,28.0,1.6,1017.6,1028.5,0.0,2019,1,6,18
108,서울,2019-01-06 19:00:00,-1.7,0.0,2.4,270.0,35.0,1.9,1018.1,1029.1,0.0,2019,1,6,19
108,서울,2019-01-06 20:00:00,-2.3,0.0,0.7,230.0,48.0,2.5,1018.1,1029.1,0.0,2019,1,6,20
108,서울,2019-01-06 21:00:00,-3.1,0.0,1.3,270.0,48.0,2.3,1018.2,1029.3,0.0,2019,1,6,21
108,서울,2019-01-06 22:00:00,-3.7,0.0,0.2,0.0,49.0,2.3,1018.1,1029.2,0.0,2019,1,6,22
108,서울,2019-01-06 23:00:00,-3.8,0.0,0.4,0.0,48.0,2.2,1018.1,1029.2,0.0,2019,1,6,23
108,서울,2019-01-07 00:00:00,-4.1,0.0,0.5,20.0,45.0,2.0,1017.4,1028.5,0.0,2019,1,7,0
108,서울,2019-01-07 01:00:00,-4.3,0.0,1.2,290.0,51.0,2.3,1017.7,1028.8,0.0,2019,1,7,1
108,서울,2019-01-07 02:00:00,-4.5,0.0,0.9,290.0,55.0,2.4,1018.2,1029.3,0.0,2019,1,7,2
108,서울,2019-01-07 03:00:00,-4.9,0.0,0.6,290.0,56.0,2.4,1018.4,1029.5,0.0,2019,1,7,3
108,서울,2019-01-07 04:00:00,-5.2,0.0,1.3,270.0,57.0,2.4,1018.3,1029.4,0.0,2019,1,7,4
108,서울,2019-01-07 05:00:00,-5.5,0.0,0.2,0.0,59.0,2.4,1018.1,1029.2,0.0,2019,1,7,5
108,서울,2019-01-07 06:00:00,-5.9,0.0,0.7,20.0,57.0,2.3,1018.0,1029.2,0.0,2019,1,7,6
108,서울,2019-01-07 07:00:00,-6.2,0.0,0.6,20.0,56.0,2.2,1018.0,1029.2,0.0,2019,1,7,7
108,서울,2019-01-07 08:00:00,-6.0,0.0,0.5,360.0,52.0,2.0,1018.1,1029.3,0.0,2019,1,7,8
108,서울,2019-01-07 09:00:00,-5.4,0.0,0.9,50.0,51.0,2.1,1018.6,1029.7,0.0,2019,1,7,9
108,서울,2019-01-07 10:00:00,-2.3,0.0,1.6,180.0,46.0,2.4,1018.8,1029.8,0.0,2019,1,7,10
108,서울,2019-01-07 11:00:00,-0.5,0.0,2.0,320.0,40.0,2.4,1018.7,1029.6,0.0,2019,1,7,11
108,서울,2019-01-07 12:00:00,0.6,0.0,2.8,320.0,33.0,2.1,1017.7,1028.6,0.0,2019,1,7,12
108,서울,2019-01-07 13:00:00,1.4,0.0,2.4,320.0,31.0,2.1,1017.2,1028.1,0.0,2019,1,7,13
108,서울,2019-01-07 14:00:00,1.7,0.0,3.6,320.0,34.0,2.3,1016.8,1027.6,0.0,2019,1,7,14
108,서울,2019-01-07 15:00:00,2.6,0.0,3.0,290.0,34.0,2.5,1016.6,1027.4,0.0,2019,1,7,15
108,서울,2019-01-07 16:00:00,2.7,0.0,1.9,290.0,31.0,2.3,1016.6,1027.4,0.0,2019,1,7,16
108,서울,2019-01-07 17:00:00,1.7,0.0,1.8,320.0,29.0,2.0,1016.6,1027.4,0.0,2019,1,7,17
108,서울,2019-01-07 18:00:00,0.6,0.0,1.1,290.0,34.0,2.2,1016.6,1027.5,0.0,2019,1,7,18
108,서울,2019-01-07 19:00:00,0.2,0.0,1.6,290.0,41.0,2.5,1016.4,1027.3,0.0,2019,1,7,19
108,서울,2019-01-07 20:00:00,-0.3,0.0,2.0,290.0,55.0,3.3,1016.7,1027.6,0.0,2019,1,7,20
108,서울,2019-01-07 21:00:00,-0.6,0.0,0.9,290.0,63.0,3.7,1016.6,1027.5,0.0,2019,1,7,21
108,서울,2019-01-07 22:00:00,-1.4,0.0,0.8,290.0,64.0,3.5,1016.4,1027.4,0.0,2019,1,7,22
108,서울,2019-01-07 23:00:00,-1.9,0.0,0.8,320.0,52.0,2.8,1016.5,1027.5,0.0,2019,1,7,23
108,서울,2019-01-08 00:00:00,-2.2,0.0,1.8,290.0,43.0,2.2,1016.4,1027.4,0.0,2019,1,8,0
108,서울,2019-01-08 01:00:00,-2.5,0.0,1.0,320.0,46.0,2.3,1016.3,1027.3,0.0,2019,1,8,1
108,서울,2019-01-08 02:00:00,-2.6,0.0,1.8,340.0,39.0,2.0,1016.9,1027.9,0.0,2019,1,8,2
108,서울,2019-01-08 03:00:00,-3.1,0.0,1.6,320.0,34.0,1.7,1017.4,1028.4,0.0,2019,1,8,3
108,서울,2019-01-08 04:00:00,-4.2,0.0,0.8,290.0,36.0,1.6,1017.3,1028.4,0.0,2019,1,8,4
108,서울,2019-01-08 05:00:00,-4.9,0.0,0.5,180.0,38.0,1.6,1017.1,1028.2,0.0,2019,1,8,5
108,서울,2019-01-08 06:00:00,-5.3,0.0,0.6,230.0,38.0,1.6,1016.8,1027.9,0.0,2019,1,8,6
108,서울,2019-01-08 07:00:00,-5.4,0.0,0.8,270.0,40.0,1.6,1016.9,1028.0,0.0,2019,1,8,7
108,서울,2019-01-08 08:00:00,-5.6,0.0,0.6,290.0,42.0,1.7,1017.1,1028.2,0.0,2019,1,8,8
108,서울,2019-01-08 09:00:00,-4.6,0.0,2.3,270.0,40.0,1.7,1017.5,1028.6,0.0,2019,1,8,9
108,서울,2019-01-08 10:00:00,-2.9,0.0,2.0,290.0,36.0,1.8,1018.1,1029.1,0.0,2019,1,8,10
108,서울,2019-01-08 11:00:00,-2.1,0.0,3.3,320.0,32.0,1.7,1018.1,1029.1,0.0,2019,1,8,11
108,서울,2019-01-08 12:00:00,-0.9,0.0,2.7,290.0,27.0,1.5,1017.2,1028.1,0.0,2019,1,8,12
108,서울,2019-01-08 13:00:00,-0.2,0.0,3.2,290.0,26.0,1.6,1016.8,1027.7,0.0,2019,1,8,13
108,서울,2019-01-08 14:00:00,-0.4,0.0,4.9,290.0,23.0,1.4,1016.2,1027.1,0.0,2019,1,8,14
108,서울,2019-01-08 15:00:00,0.3,0.0,3.4,290.0,20.0,1.2,1016.8,1027.7,0.0,2019,1,8,15
108,서울,2019-01-08 16:00:00,0.2,0.0,5.2,290.0,23.0,1.4,1017.5,1028.4,0.0,2019,1,8,16
108,서울,2019-01-08 17:00:00,-0.8,0.0,5.0,290.0,21.0,1.2,1017.3,1028.2,0.0,2019,1,8,17
108,서울,2019-01-08 18:00:00,-2.0,0.0,3.0,290.0,21.0,1.1,1017.2,1028.2,0.0,2019,1,8,18
108,서울,2019-01-08 19:00:00,-3.2,0.0,5.1,290.0,21.0,1.0,1018.6,1029.7,0.0,2019,1,8,19
108,서울,2019-01-08 20:00:00,-5.0,0.0,6.5,320.0,32.0,1.4,1019.5,1030.7,0.0,2019,1,8,20
108,서울,2019-01-08 21:00:00,-5.7,0.0,2.1,320.0,34.0,1.4,1020.5,1031.7,0.0,2019,1,8,21
108,서울,2019-01-08 22:00:00,-6.6,0.0,0.6,90.0,35.0,1.3,1020.8,1032.0,0.0,2019,1,8,22
108,서울,2019-01-08 23:00:00,-7.1,0.0,1.8,320.0,34.0,1.2,1021.3,1032.6,0.0,2019,1,8,23
108,서울,2019-01-09 00:00:00,-7.0,0.0,2.0,340.0,34.0,1.2,1022.0,1033.3,0.0,2019,1,9,0
108,서울,2019-01-09 01:00:00,-7.5,0.0,1.1,290.0,34.0,1.2,1022.2,1033.5,0.0,2019,1,9,1
108,서울,2019-01-09 02:00:00,-7.7,0.0,2.5,290.0,34.0,1.2,1022.8,1034.1,0.0,2019,1,9,2
108,서울,2019-01-09 03:00:00,-7.6,0.0,1.9,360.0,31.0,1.1,1023.3,1034.6,0.0,2019,1,9,3
108,서울,2019-01-09 04:00:00,-8.3,0.0,0.7,340.0,32.0,1.0,1023.4,1034.7,0.0,2019,1,9,4
108,서울,2019-01-09 05:00:00,-8.8,0.0,1.1,50.0,33.0,1.0,1023.7,1035.1,0.0,2019,1,9,5
108,서울,2019-01-09 06:00:00,-9.2,0.0,0.8,360.0,35.0,1.1,1024.1,1035.5,0.0,2019,1,9,6
108,서울,2019-01-09 07:00:00,-9.3,0.0,0.5,20.0,36.0,1.1,1024.5,1035.9,0.0,2019,1,9,7
108,서울,2019-01-09 08:00:00,-9.3,0.0,0.9,20.0,37.0,1.1,1024.5,1035.9,0.0,2019,1,9,8
108,서울,2019-01-09 09:00:00,-8.6,0.0,1.5,50.0,35.0,1.1,1024.9,1036.3,0.0,2019,1,9,9
108,서울,2019-01-09 10:00:00,-6.2,0.0,1.0,50.0,31.0,1.2,1025.3,1036.6,0.0,2019,1,9,10
108,서울,2019-01-09 11:00:00,-3.6,0.0,1.2,50.0,27.0,1.3,1024.9,1036.0,0.0,2019,1,9,11
108,서울,2019-01-09 12:00:00,-2.4,0.0,1.6,50.0,25.0,1.3,1023.7,1034.8,0.0,2019,1,9,12
108,서울,2019-01-09 13:00:00,-1.9,0.0,1.4,50.0,23.0,1.2,1022.7,1033.7,0.0,2019,1,9,13
108,서울,2019-01-09 14:00:00,-0.8,0.0,0.8,20.0,20.0,1.1,1021.8,1032.8,0.0,2019,1,9,14
108,서울,2019-01-09 15:00:00,0.7,0.0,1.3,200.0,19.0,1.2,1021.7,1032.6,0.0,2019,1,9,15
108,서울,2019-01-09 16:00:00,0.8,0.0,1.4,320.0,20.0,1.3,1021.2,1032.1,0.0,2019,1,9,16
108,서울,2019-01-09 17:00:00,-0.4,0.0,1.9,320.0,22.0,1.3,1020.6,1031.6,0.0,2019,1,9,17
