지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),현상번호(국내식),지면온도(°C),10cm 지중온도(°C),30cm 지중온도(°C)
108,서울,2019-01-05 12:00,-2,,3.6,290,34,1.8,1017.3,1028.3,1,1.34,,4,0,Ci,,,3.8,-0.9,0.6
108,서울,2019-01-05 13:00,-0.7,,2.8,290,30,1.7,1016.8,1027.7,1,1.78,,1,0,Ci,,,7.7,-0.8,0.6
108,서울,2019-01-05 14:00,-0.5,,2.4,290,25,1.5,1016.2,1027.1,1,1.76,,0,0,,,,9,-0.6,0.7
108,서울,2019-01-05 15:00,0.6,,3.5,270,20,1.3,1015.9,1026.8,1,1.44,,0,0,,,,7.7,-0.4,0.7
108,서울,2019-01-05 16:00,0.4,,2.7,320,21,1.3,1015.5,1026.4,1,0.99,,0,0,,,,4.2,-0.4,0.7
108,서울,2019-01-05 17:00,-0.3,,1.9,290,21,1.3,1015.3,1026.2,1,0.41,,0,0,,,,-0.9,-0.4,0.6
108,서울,2019-01-05 18:00,-1.5,,1.6,270,23,1.3,1015.8,1026.8,0.1,0.01,,0,0,,,,-2.2,-0.3,0.7
108,서울,2019-01-05 19:00,-2.1,,1.5,290,26,1.4,1016.1,1027.1,,,,0,0,,,,-3,-0.3,0.6
108,서울,2019-01-05 20:00,-2.6,,1.7,290,28,1.4,1015.9,1026.9,,,,0,0,,,,-3.7,-0.3,0.7
108,서울,2019-01-05 21:00,-2.9,,1.8,340,28,1.4,1016.4,1027.4,,,,0,0,,,,-3.9,-0.3,0.7
108,서울,2019-01-05 22:00,-3.9,,1.7,290,31,1.4,1016.8,1027.9,,,,0,0,,,,-4.7,-0.4,0.7
108,서울,2019-01-05 23:00,-4.8,,1.5,290,35,1.5,1017,1028.1,,,,0,0,,,,-5.4,-0.6,0.6
108,서울,2019-01-06 0:00,-5.5,,1.4,290,37,1.5,1017.1,1028.2,,,,0,0,,,,-5.9,-0.7,0.6
108,서울,2019-01-06 1:00,-6,,1.8,290,37,1.5,1017.3,1028.5,,,,8,0,,,,-6.1,-0.9,0.6
108,서울,2019-01-06 2:00,-6.3,,0.9,290,38,1.5,1017.6,1028.8,,,,5,1,,54,,-6.3,-1.1,0.6
108,서울,2019-01-06 3:00,-5.9,,0.1,0,37,1.5,1017.7,1028.9,,,,8,0,Ci,,,-5.6,-1.3,0.6
108,서울,2019-01-06 4:00,-5.7,,0.8,340,35,1.4,1017.1,1028.2,,,,8,0,Ci,,,-5.4,-1.4,0.6
108,서울,2019-01-06 5:00,-5.6,,0.3,0,36,1.5,1016.9,1028,,,,7,0,Ci,,,-5.1,-1.5,0.6
108,서울,2019-01-06 6:00,-5.4,,0.5,360,35,1.4,1017,1028.1,,,,9,0,Ci,,,-5,-1.6,0.6
108,서울,2019-01-06 7:00,-5.3,,1.2,50,38,1.6,1016.9,1028,,,,8,0,Ci,,,-5,-1.6,0.7
108,서울,2019-01-06 8:00,-5.7,,0.7,360,39,1.6,1017.7,1028.8,0,0,,8,2,AcCi,45,,-5.7,-1.6,0.7
108,서울,2019-01-06 9:00,-5.2,,0.9,320,38,1.6,1018.2,1029.3,0,0.15,,8,0,Ci,,,-4.4,-1.7,0.6
108,서울,2019-01-06 10:00,-4.2,,0.3,0,35,1.6,1018.6,1029.7,0.6,0.43,,1,0,Ci,,,-2.2,-1.6,0.6
108,서울,2019-01-06 11:00,-1.3,,1.7,250,31,1.7,1018.5,1029.5,1,1.16,,0,0,,,,2.8,-1.4,0.6
108,서울,2019-01-06 12:00,0.2,,2.2,270,28,1.7,1018.3,1029.2,1,1.62,,0,0,,,,6.5,-1.1,0.6
108,서울,2019-01-06 13:00,1.6,,1.3,250,21,1.4,1016.9,1027.7,1,1.79,,0,0,,,,9.4,-0.8,0.6
108,서울,2019-01-06 14:00,1.8,,2.1,270,22,1.5,1016.9,1027.7,1,1.7,,0,0,,,,10.4,-0.6,0.6
108,서울,2019-01-06 15:00,2.1,,2.8,290,21,1.5,1016.7,1027.5,1,1.41,,0,0,,,,9,-0.5,0.6
108,서울,2019-01-06 16:00,2.5,,1.8,290,22,1.6,1017.2,1028,1,0.96,,0,0,,,,5,-0.4,0.6
108,서울,2019-01-06 17:00,0.8,,1.8,290,28,1.8,1017.3,1028.2,1,0.41,,0,0,,,,-1.1,-0.3,0.6
108,서울,2019-01-06 18:00,-0.9,,1.6,290,28,1.6,1017.6,1028.5,0.1,0.01,,0,0,,,,-2.1,-0.3,0.6
108,서울,2019-01-06 19:00,-1.7,,2.4,270,35,1.9,1018.1,1029.1,,,,0,0,,,,-2.6,-0.3,0.6
108,서울,2019-01-06 20:00,-2.3,,0.7,230,48,2.5,1018.1,1029.1,,,,0,0,,,,-3.2,-0.3,0.6
108,서울,2019-01-06 21:00,-3.1,,1.3,270,48,2.3,1018.2,1029.3,,,,0,0,,,,-3.7,-0.2,0.6
108,서울,2019-01-06 22:00,-3.7,,0.2,0,49,2.3,1018.1,1029.2,,,,0,0,,,,-4.4,-0.3,0.6
108,서울,2019-01-06 23:00,-3.8,,0.4,0,48,2.2,1018.1,1029.2,,,,0,0,,,,-4.9,-0.4,0.6
108,서울,2019-01-07 0:00,-4.1,,0.5,20,45,2,1017.4,1028.5,,,,0,0,,,,-5.3,-0.6,0.6
108,서울,2019-01-07 1:00,-4.3,,1.2,290,51,2.3,1017.7,1028.8,,,,0,0,,,,-5.7,-0.8,0.6
108,서울,2019-01-07 2:00,-4.5,,0.9,290,55,2.4,1018.2,1029.3,,,,0,0,,,,-6.1,-0.9,0.6
108,서울,2019-01-07 3:00,-4.9,,0.6,290,56,2.4,1018.4,1029.5,,,,0,0,,,,-6.2,-1,0.6
108,서울,2019-01-07 4:00,-5.2,,1.3,270,57,2.4,1018.3,1029.4,,,,0,0,,,,-6.5,-1.3,0.6
108,서울,2019-01-07 5:00,-5.5,,0.2,0,59,2.4,1018.1,1029.2,,,,0,0,,,,-7.2,-1.4,0.6
108,서울,2019-01-07 6:00,-5.9,,0.7,20,57,2.3,1018,1029.2,,,,0,0,,,,-7.5,-1.6,0.6
108,서울,2019-01-07 7:00,-6.2,,0.6,20,56,2.2,1018,1029.2,,,,0,0,,,,-7.6,-1.8,0.6
108,서울,2019-01-07 8:00,-6,,0.5,360,52,2,1018.1,1029.3,0,0,,3,0,Ci,,,-7.9,-1.9,0.6
108,서울,2019-01-07 9:00,-5.4,,0.9,50,51,2.1,1018.6,1029.7,0.4,0.22,,4,0,Ci,,,-5.6,-2.1,0.6
108,서울,2019-01-07 10:00,-2.3,,1.6,180,46,2.4,1018.8,1029.8,1,0.74,,4,0,Ci,,,-0.8,-1.9,0.6
108,서울,2019-01-07 11:00,-0.5,,2,320,40,2.4,1018.7,1029.6,1,1.14,,0,0,,,,3.4,-1.6,0.6
108,서울,2019-01-07 12:00,0.6,,2.8,320,33,2.1,1017.7,1028.6,1,1.54,,0,0,,,,6.6,-1.2,0.6
108,서울,2019-01-07 13:00,1.4,,2.4,320,31,2.1,1017.2,1028.1,1,1.59,,5,0,Ci,,,7.7,-0.9,0.6
108,서울,2019-01-07 14:00,1.7,,3.6,320,34,2.3,1016.8,1027.6,1,1.39,,6,0,Ci,,40,7.4,-0.6,0.6
108,서울,2019-01-07 15:00,2.6,,3,290,34,2.5,1016.6,1027.4,1,1.16,,9,0,Ci,,40,6.1,-0.5,0.6
108,서울,2019-01-07 16:00,2.7,,1.9,290,31,2.3,1016.6,1027.4,0.6,0.65,,9,0,Cs,,40,3.6,-0.4,0.5
108,서울,2019-01-07 17:00,1.7,,1.8,320,29,2,1016.6,1027.4,0,0.27,,7,0,Ci,,40,0,-0.4,0.6
108,서울,2019-01-07 18:00,0.6,,1.1,290,34,2.2,1016.6,1027.5,0,0.01,,8,0,Ci,,,-1.4,-0.4,0.6
108,서울,2019-01-07 19:00,0.2,,1.6,290,41,2.5,1016.4,1027.3,,,,8,8,,45,,-1.5,-0.3,0.6
108,서울,2019-01-07 20:00,-0.3,,2,290,55,3.3,1016.7,1027.6,,,,7,5,,46,40,-2.1,-0.2,0.6
108,서울,2019-01-07 21:00,-0.6,,0.9,290,63,3.7,1016.6,1027.5,,,,7,0,Ci,,40,-2.3,-0.3,0.6
108,서울,2019-01-07 22:00,-1.4,,0.8,290,64,3.5,1016.4,1027.4,,,,9,2,,52,40,-2.9,-0.3,0.6
108,서울,2019-01-07 23:00,-1.9,,0.8,320,52,2.8,1016.5,1027.5,,,,6,1,,62,40,-3.7,-0.3,0.6
108,서울,2019-01-08 0:00,-2.2,,1.8,290,43,2.2,1016.4,1027.4,,,,4,0,,,,-4,-0.3,0.6
108,서울,2019-01-08 1:00,-2.5,,1,320,46,2.3,1016.3,1027.3,,,,6,1,,48,,-4.1,-0.4,0.6
108,서울,2019-01-08 2:00,-2.6,,1.8,340,39,2,1016.9,1027.9,,,,4,1,,,,-4.6,-0.5,0.6
108,서울,2019-01-08 3:00,-3.1,,1.6,320,34,1.7,1017.4,1028.4,,,,0,0,,,,-5,-0.7,0.6
108,서울,2019-01-08 4:00,-4.2,,0.8,290,36,1.6,1017.3,1028.4,,,,0,0,,,,-6,-0.8,0.6
108,서울,2019-01-08 5:00,-4.9,,0.5,180,38,1.6,1017.1,1028.2,,,,0,0,,,,-6.5,-1,0.6
108,서울,2019-01-08 6:00,-5.3,,0.6,230,38,1.6,1016.8,1027.9,,,,0,0,,,,-6.9,-1.2,0.6
108,서울,2019-01-08 7:00,-5.4,,0.8,270,40,1.6,1016.9,1028,,,,2,0,Ci,,,-7.4,-1.4,0.6
108,서울,2019-01-08 8:00,-5.6,,0.6,290,42,1.7,1017.1,1028.2,0,0,,0,0,,,,-7.5,-1.6,0.6
108,서울,2019-01-08 9:00,-4.6,,2.3,270,40,1.7,1017.5,1028.6,0.6,0.24,,0,0,,,,-5.5,-1.8,0.6
108,서울,2019-01-08 10:00,-2.9,,2,290,36,1.8,1018.1,1029.1,1,0.83,,0,0,,,,-0.5,-1.7,0.6
108,서울,2019-01-08 11:00,-2.1,,3.3,320,32,1.7,1018.1,1029.1,1,1.34,,0,0,,,,5.5,-1.3,0.6
108,서울,2019-01-08 12:00,-0.9,,2.7,290,27,1.5,1017.2,1028.1,1,1.69,,0,0,,,,9.7,-1,0.6
108,서울,2019-01-08 13:00,-0.2,,3.2,290,26,1.6,1016.8,1027.7,1,1.82,,0,0,,,,11.2,-0.8,0.5
108,서울,2019-01-08 14:00,-0.4,,4.9,290,23,1.4,1016.2,1027.1,1,1.74,,0,0,,,,10.1,-0.6,0.6
108,서울,2019-01-08 15:00,0.3,,3.4,290,20,1.2,1016.8,1027.7,1,1.43,,0,0,,,,8.4,-0.5,0.6
108,서울,2019-01-08 16:00,0.2,,5.2,290,23,1.4,1017.5,1028.4,1,0.97,,0,0,,,,3.4,-0.4,0.6
108,서울,2019-01-08 17:00,-0.8,,5,290,21,1.2,1017.3,1028.2,1,0.39,,2,0,Ci,,,-1.7,-0.3,0.6
108,서울,2019-01-08 18:00,-2,,3,290,21,1.1,1017.2,1028.2,0.1,0.01,,0,0,,,,-3.5,-0.3,0.6
108,서울,2019-01-08 19:00,-3.2,,5.1,290,21,1,1018.6,1029.7,,,,0,0,,,,-4.1,-0.3,0.6
108,서울,2019-01-08 20:00,-5,,6.5,320,32,1.4,1019.5,1030.7,,,,0,0,,,,-5,-0.3,0.6
108,서울,2019-01-08 21:00,-5.7,,2.1,320,34,1.4,1020.5,1031.7,,,,0,0,,,,-6.1,-0.4,0.6
108,서울,2019-01-08 22:00,-6.6,,0.6,90,35,1.3,1020.8,1032,,,,0,0,,,,-7.1,-0.4,0.6
108,서울,2019-01-08 23:00,-7.1,,1.8,320,34,1.2,1021.3,1032.6,,,,0,0,,,,-7.7,-0.7,0.6
108,서울,2019-01-09 0:00,-7,,2,340,34,1.2,1022,1033.3,,,,0,0,,,,-8,-0.8,0.6
108,서울,2019-01-09 1:00,-7.5,,1.1,290,34,1.2,1022.2,1033.5,,,,0,0,,,,-8.5,-1,0.6
108,서울,2019-01-09 2:00,-7.7,,2.5,290,34,1.2,1022.8,1034.1,,,,1,0,,,,-8.8,-1.3,0.6
108,서울,2019-01-09 3:00,-7.6,,1.9,360,31,1.1,1023.3,1034.6,,,,0,0,,,,-9.3,-1.5,0.6
108,서울,2019-01-09 4:00,-8.3,,0.7,340,32,1,1023.4,1034.7,,,,0,0,,,,-10.1,-1.8,0.6
